key,module,page,component,slot,text,notes,status
entire.state.not_enabled,dashboard,EntirePage,EntireStatusCard,state_not_enabled,Not enabled,,inactive
entire.state.enabled_no_commits,dashboard,EntirePage,EntireStatusCard,state_enabled_no_commits,"Enabled, waiting for checkpoints",,inactive
entire.state.active,dashboard,EntirePage,EntireStatusCard,state_active,Active,,inactive
entire.state.unknown,dashboard,EntirePage,EntireStatusCard,state_unknown,Unknown,,inactive
entire.checkpoints.title,dashboard,EntirePage,CheckpointList,title,Checkpoints,,inactive
entire.checkpoints.count,dashboard,EntirePage,CheckpointList,count,{{count}} files,,inactive
entire.checkpoints.loading,dashboard,EntirePage,CheckpointList,loading,Loading checkpoints...,,inactive
entire.checkpoints.error,dashboard,EntirePage,CheckpointList,error,Unable to load checkpoints: {{error}},,inactive
entire.checkpoints.error_fallback,dashboard,EntirePage,CheckpointList,error_fallback,Request failed,,inactive
entire.checkpoints.empty,dashboard,EntirePage,CheckpointList,empty,Select a repository to view checkpoints.,,inactive
entire.checkpoints.none,dashboard,EntirePage,CheckpointList,none,No checkpoint files found.,,inactive
entire.checkpoints.reason.branch_not_fetched,dashboard,EntirePage,CheckpointList,reason_branch_not_fetched,Checkpoint branch is not fetched for this repository.,,inactive
entire.checkpoints.reason.git_error,dashboard,EntirePage,CheckpointList,reason_git_error,Unable to read checkpoint branch from git.,,inactive
entire.checkpoints.reason.git_error_detail,dashboard,EntirePage,CheckpointList,reason_git_error_detail,Git error: {{detail}},,inactive
entire.checkpoints.detail.title,dashboard,EntirePage,CheckpointList,detail_title,Checkpoint detail,,inactive
entire.checkpoints.detail.loading,dashboard,EntirePage,CheckpointList,detail_loading,Loading checkpoint detail...,,inactive
entire.checkpoints.detail.error,dashboard,EntirePage,CheckpointList,detail_error,Unable to load checkpoint: {{error}},,inactive
entire.checkpoints.detail.error_fallback,dashboard,EntirePage,CheckpointList,detail_error_fallback,Request failed,,inactive
entire.checkpoints.detail.empty,dashboard,EntirePage,CheckpointList,detail_empty,Select a checkpoint file.,,inactive
entire.checkpoints.detail.mode.metadata,dashboard,EntirePage,CheckpointList,mode_metadata,Metadata,,inactive
entire.checkpoints.detail.mode.raw,dashboard,EntirePage,CheckpointList,mode_raw,Raw content,,inactive
entire.checkpoints.detail.meta.path,dashboard,EntirePage,CheckpointList,meta_path,File,,inactive
entire.checkpoints.detail.meta.type,dashboard,EntirePage,CheckpointList,meta_type,Type,,inactive
entire.checkpoints.detail.meta.keys,dashboard,EntirePage,CheckpointList,meta_keys,Keys,,inactive
entire.checkpoints.detail.meta.fields,dashboard,EntirePage,CheckpointList,meta_fields,Fields,,inactive
entire.checkpoints.detail.meta.none,dashboard,EntirePage,CheckpointList,meta_none,No metadata fields available.,,inactive
entire.checkpoints.usage.not_linked,dashboard,EntirePage,CheckpointList,usage_not_linked,Usage not linked,,inactive
entire.checkpoints.usage.ambiguous,dashboard,EntirePage,CheckpointList,usage_ambiguous,Ambiguous usage,,inactive
entire.checkpoints.usage.unknown_cost,dashboard,EntirePage,CheckpointList,usage_unknown_cost,Unknown cost,,inactive
entire.checkpoints.usage.quality.stored,dashboard,EntirePage,CheckpointList,usage_quality_stored,Stored cost,,inactive
entire.checkpoints.usage.quality.estimated,dashboard,EntirePage,CheckpointList,usage_quality_estimated,Estimated cost,,inactive
entire.checkpoints.usage.quality.token_buckets,dashboard,EntirePage,CheckpointList,usage_quality_token_buckets,Token bucket cost,,inactive
entire.actions.title,dashboard,EntirePage,EntireActionsPanel,title,Actions,,inactive
entire.actions.subtitle,dashboard,EntirePage,EntireActionsPanel,subtitle,Run Entire commands for the selected repository.,,inactive
entire.actions.empty,dashboard,EntirePage,EntireActionsPanel,empty,Load a repository to run Entire commands.,,inactive
entire.actions.enable.agents_label,dashboard,EntirePage,EntireActionsPanel,enable_agents_label,Agents for enable,,inactive
entire.actions.enable.agents_hint,dashboard,EntirePage,EntireActionsPanel,enable_agents_hint,Choose one or more agents before enabling Entire.,,inactive
entire.actions.enable,dashboard,EntirePage,EntireActionsPanel,enable_action,Enable,,inactive
entire.actions.disable,dashboard,EntirePage,EntireActionsPanel,disable_action,Disable,,inactive
entire.actions.doctor,dashboard,EntirePage,EntireActionsPanel,doctor_action,Doctor,,inactive
entire.actions.status,dashboard,EntirePage,EntireActionsPanel,status_action,Status,,inactive
entire.actions.rewind.input_label,dashboard,EntirePage,EntireActionsPanel,rewind_input_label,Checkpoint id,,inactive
entire.actions.rewind.input_placeholder,dashboard,EntirePage,EntireActionsPanel,rewind_input_placeholder,checkpoint-id,,inactive
entire.actions.rewind,dashboard,EntirePage,EntireActionsPanel,rewind_action,Rewind,,inactive
entire.actions.rewind.validation.required,dashboard,EntirePage,EntireActionsPanel,rewind_validation_required,Type a checkpoint id before rewinding.,,inactive
entire.actions.clean.all,dashboard,EntirePage,EntireActionsPanel,clean_all,Clean all checkpoints,,inactive
entire.actions.clean,dashboard,EntirePage,EntireActionsPanel,clean_action,Clean,,inactive
entire.actions.error,dashboard,EntirePage,EntireActionsPanel,error,Command failed: {{error}},,inactive
entire.actions.error_fallback,dashboard,EntirePage,EntireActionsPanel,error_fallback,Request failed,,inactive
entire.actions.output,dashboard,EntirePage,EntireActionsPanel,output,Command output,,inactive
entire.configure.title,dashboard,EntirePage,AdvancedConfigurePanel,title,Configure,,inactive
entire.configure.disclosure,dashboard,EntirePage,AdvancedConfigurePanel,disclosure,Advanced raw configure,,inactive
entire.configure.subtitle,dashboard,EntirePage,AdvancedConfigurePanel,subtitle,Use raw argv-style arguments for Entire configure.,,inactive
entire.configure.empty,dashboard,EntirePage,AdvancedConfigurePanel,empty,Load a repository to configure Entire.,,inactive
entire.configure.input.label,dashboard,EntirePage,AdvancedConfigurePanel,input_label,Configure args,,inactive
entire.configure.input.placeholder,dashboard,EntirePage,AdvancedConfigurePanel,input_placeholder,--arg value --flag,,inactive
entire.configure.action,dashboard,EntirePage,AdvancedConfigurePanel,action,Run configure,,inactive
entire.configure.error,dashboard,EntirePage,AdvancedConfigurePanel,error,Configure failed: {{error}},,inactive
entire.configure.error_fallback,dashboard,EntirePage,AdvancedConfigurePanel,error_fallback,Request failed,,inactive
entire.configure.output,dashboard,EntirePage,AdvancedConfigurePanel,output,Command output,,inactive
vibedeck.api.error.not_installed,shared,*,VibeDeckAPI,error_not_installed,Entire is not installed for this environment.,,inactive
vibedeck.api.error.not_enabled,shared,*,VibeDeckAPI,error_not_enabled,Entire is installed but not enabled for this repository.,,inactive
vibedeck.api.error.enabled_no_commits,shared,*,VibeDeckAPI,error_enabled_no_commits,Entire is enabled and waiting for checkpoints.,,inactive
vibedeck.api.error.active,shared,*,VibeDeckAPI,error_active,Entire is active.,,inactive
vibedeck.api.error.branch_not_fetched,shared,*,VibeDeckAPI,error_branch_not_fetched,Checkpoint branch is not fetched.,,inactive
vibedeck.api.error.git_error,shared,*,VibeDeckAPI,error_git_error,Git command failed while reading Entire checkpoint data.,,inactive
vibedeck.api.error.unknown_command,shared,*,VibeDeckAPI,error_unknown_command,Unknown Entire command.,,inactive
